symbol,entrez_id,average_score,combined_score,num_screens_hit
SPIN1,10927,5.33846666667,0.01941260606061818,1
SLC36A4,120103,5.338,0.01941090909090909,1
ANKRD13D,338692,5.329,0.01937818181818182,1
PLD3,23646,5.31916666667,0.019342424242436363,1
DLL1,28514,5.31916666667,0.019342424242436363,1
AOC3,8639,5.308,0.01930181818181818,1
TAPBPL,55080,5.291,0.01924,1
ZNF140,7699,5.255,0.01910909090909091,1
METTL11B,149281,5.25,0.019090909090909092,1
CD22,933,5.24716666667,0.01908060606061818,1
MYH14,79784,5.24623362648,0.019077213187199998,1
NANOG,79923,5.24366666667,0.01906787878789091,1
MYO7A,4647,5.24366666667,0.01906787878789091,1
CRISP1,167,5.233,0.01902909090909091,1
DEFB129,140881,5.228,0.01901090909090909,1
RAB37,326624,5.222,0.01898909090909091,1
ARFGEF2,10564,5.221,0.018985454545454545,1
DHRS13,147015,5.22,0.01898181818181818,1
TMEM39B,55116,5.219,0.018978181818181818,1
MC4R,4160,5.217,0.01897090909090909,1
IFITM5,387733,5.21,0.018945454545454547,1
MRAS,22808,5.201,0.018912727272727272,1
KCNK15,60598,5.2,0.01890909090909091,1
COL28A1,340267,5.199,0.018905454545454545,1
AIMP2,7965,5.198,0.018901818181818183,1
POTEM,641455,5.19669967687,0.018897089734072725,1
CREG1,8804,5.192,0.01888,1
SDC1,6382,5.18,0.018836363636363634,1
MYCL,4610,5.18,0.018836363636363634,1
DEPDC1B,55789,5.174,0.018814545454545455,1
LRRC8B,23507,5.163,0.018774545454545457,1
KIAA1614,57710,5.16196666667,0.0187707878788,1
HBZ,3050,5.159,0.01876,1
TEX46,729059,5.1561,0.01874945454545455,1
CLTCL1,8218,5.1561,0.01874945454545455,1
ADAMTS14,140766,5.14216666667,0.0186987878788,1
MOV10,4343,5.14216666667,0.0186987878788,1
DHRS1,115817,5.11,0.018581818181818182,1
MROH1,727957,5.098,0.018538181818181818,1
STARD4,134429,5.093,0.01852,1
PRAMEF6,440561,5.0613326555,0.01840484602,1
HOXA5,3202,5.059,0.018396363636363638,1
C11orf53,341032,5.05323333333,0.018375393939381816,1
PON3,5446,5.044,0.01834181818181818,1
RNF34,80196,5.03626666667,0.018313696969709088,1
CEACAM5,1048,5.03626666667,0.018313696969709088,1
EOGT,285203,5.03626666667,0.018313696969709088,1
GBP5,115362,5.031,0.018294545454545452,1
TRIM27,5987,5.02733333333,0.0182812121212,1
GCM1,8521,5.01,0.018218181818181817,1
RASA4,10156,5.00259953568,0.018191271038836363,1
OR2H1,26716,5.0,0.01818181818181818,1
